code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
000060,中金岭南,0.0,0.0,0.0,0.45,20130412,20130827,20130828,20121231
000807,云铝股份,0.0,0.0,0.0,0.3,20130427,20130827,20130828,20121231
002301,齐心集团,0.0,0.0,0.0,0.2,20130424,20130826,20130827,20121231
000927,一汽夏利,0.0,0.0,0.0,0.1,20130416,20130822,20130823,20121231
600756,浪潮软件,0.0,0.0,0.0,0.43,20130316,20130822,20130823,20121231
000547,航天发展,0.0,0.0,0.0,0.2,20130419,20130822,20130823,20121231
002202,金风科技,0.0,0.0,0.0,0.55,20130323,20130821,20130822,20121231
600031,三一重工,0.0,0.0,0.0,2.5,20130427,20130821,20130822,20121231
600628,新世界,0.0,0.0,0.0,1.5,20130416,20130821,20130822,20121231
600701,工大高新,0.0,0.0,0.0,0.15,20130426,20130821,20130822,20121231
601216,君正集团,0.0,0.0,0.0,0.5,20130423,20130820,20130821,20121231
002064,华峰氨纶,0.0,0.0,0.0,1.0,20130423,20130820,20130821,20121231
601800,中国交建,0.0,0.0,0.0,1.847,20130327,20130820,20130821,20121231
000707,双环科技,0.0,0.0,0.0,0.1,20130323,20130819,20130820,20121231
000338,潍柴动力,0.0,0.0,0.0,2.3,20130322,20130819,20130820,20121231
600759,洲际油气,0.0,0.0,0.0,0.93,20130425,20130819,20130820,20121231
600985,雷鸣科化,0.0,0.0,0.0,1.0,20130308,20130819,20130820,20121231
600196,复星医药,0.0,0.0,0.0,2.1,20130327,20130816,20130819,20121231
600197,伊力特,0.0,0.0,0.0,2.2,20130426,20130816,20130819,20121231
000523,广州浪奇,0.0,0.0,0.0,0.2,20130316,20130816,20130819,20121231
600292,远达环保,0.0,0.0,0.0,0.8,20130329,20130816,20130819,20121231
600308,华泰股份,0.0,0.0,0.0,0.2,20130427,20130816,20130819,20121231
000601,韶能股份,0.0,0.0,0.0,0.25,20130424,20130816,20130819,20121231
600009,上海机场,0.0,0.0,0.0,3.7,20130302,20130815,20130816,20121231
601727,上海电气,0.0,0.0,0.0,0.637,20130329,20130815,20130816,20121231
000089,深圳机场,0.0,0.0,0.0,0.35,20130329,20130815,20130816,20121231
600266,北京城建,0.0,0.0,0.0,3.7,20130330,20130815,20130816,20121231
601608,中信重工,0.0,0.0,0.0,0.56,20130420,20130815,20130816,20121231
000782,美达股份,0.0,0.0,0.0,0.2,20130427,20130814,20130815,20121231
000039,中集集团,0.0,0.0,0.0,2.3,20130322,20130814,20130815,20121231
601918,*ST新集,4.0,2.0,2.0,1.0,20130423,20130814,20130815,20121231
600297,广汇汽车,0.0,0.0,0.0,0.3971,20130413,20130814,20130815,20121231
600601,方正科技,0.0,0.0,0.0,0.12,20130413,20130813,20130814,20121231
600812,华北制药,0.0,0.0,0.0,0.37,20130410,20130813,20130814,20121231
300128,锦富技术,10.0,0.0,10.0,3.0,20130419,20130812,20130813,20121231
600372,中航电子,3.0,0.0,3.0,0.5,20130326,20130812,20130813,20121231
300006,莱美药业,0.0,0.0,0.0,1.0,20130422,20130812,20130813,20121231
600839,四川长虹,0.0,0.0,0.0,0.1,20130419,20130812,20130813,20121231
000026,飞亚达A,0.0,0.0,0.0,1.0,20130301,20130812,20130813,20121231
600807,天业股份,0.0,0.0,0.0,0.14,20130328,20130809,20130812,20121231
600825,新华传媒,0.0,0.0,0.0,0.32,20130427,20130809,20130812,20121231
600561,江西长运,0.0,0.0,0.0,1.7,20130427,20130809,20130812,20121231
601880,大连港,0.0,0.0,0.0,0.5,20130329,20130809,20130812,20121231
000715,中兴商业,0.0,0.0,0.0,0.7,20130401,20130809,20130812,20121231
600841,上柴股份,0.0,0.0,0.0,0.71,20130328,20130809,20130812,20121231
600864,哈投股份,0.0,0.0,0.0,2.5,20130315,20130809,20130812,20121231
000032,深桑达A,0.0,0.0,0.0,1.8,20130427,20130808,20130809,20121231
000534,万泽股份,0.0,0.0,0.0,0.5,20130427,20130808,20130809,20121231
000759,中百集团,0.0,0.0,0.0,2.0,20130420,20130808,20130809,20121231
601991,大唐发电,0.0,0.0,0.0,1.0,20130326,20130808,20130809,20121231
600085,同仁堂,0.0,0.0,0.0,2.5,20130326,20130808,20130809,20121231
600639,浦东金桥,0.0,0.0,0.0,1.1,20130323,20130808,20130809,20121231
600323,瀚蓝环境,0.0,0.0,0.0,1.0,20130323,20130808,20130809,20121231
600638,新黄浦,0.0,0.0,0.0,1.0,20130427,20130808,20130809,20121231
000419,通程控股,0.0,0.0,0.0,1.0,20130423,20130808,20130809,20121231
600612,老凤祥,0.0,0.0,0.0,6.0,20130424,20130807,20130808,20121231
600030,中信证券,0.0,0.0,0.0,3.0,20130328,20130807,20130808,20121231
601001,大同煤业,0.0,0.0,0.0,0.12,20130426,20130807,20130808,20121231
601007,金陵饭店,0.0,0.0,0.0,1.15,20130322,20130805,20130806,20121231
000423,东阿阿胶,0.0,0.0,0.0,7.0,20130330,20130805,20130806,20121231
