code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
000639,西王食品,3.0,1.6,1.4,0.0,19980217,19980220,19980223,19970630
600816,安信信托,1.0,0.0,1.0,0.0,19980212,19980217,19980218,19970630
000710,*ST天仪,8.0,0.0,8.0,0.0,19980212,19980216,19980217,19970630
000426,兴业矿业,8.0,0.0,8.0,0.0,19980108,19980112,19980113,19970630
000026,飞亚达A,5.0,0.0,5.0,0.0,19971231,19980107,19980108,19970630
000782,美达股份,10.0,0.0,10.0,0.0,19971230,19980107,19980108,19970630
000419,通程控股,5.0,5.0,0.0,0.0,19971213,19971217,19971218,19970630
600641,万业企业,3.0,0.0,3.0,0.0,19971209,19971212,19971215,19970630
000037,*ST南电A,8.0,0.0,8.0,0.0,19971126,19971201,19971202,19970630
000712,锦龙股份,9.0,1.0,8.0,0.0,19971111,19971118,19971119,19970630
000780,平庄能源,8.0,0.0,8.0,0.0,19971103,19971106,19971107,19970630
000027,深圳能源,10.0,0.0,10.0,0.0,19971029,19971103,19971104,19970630
000601,韶能股份,4.0,3.0,1.0,0.0,19971028,19971031,19971103,19970630
000609,绵石投资,5.0,0.0,5.0,0.0,19971024,19971031,19971103,19970630
000623,吉林敖东,5.0,0.0,5.0,0.0,19971025,19971029,19971030,19970630
000692,惠天热电,6.0,0.0,6.0,0.0,19971022,19971028,19971029,19970630
600851,海欣股份,3.0,0.0,3.0,0.0,19971020,19971027,19971028,19970630
000605,渤海股份,5.0,2.0,3.0,0.0,19971022,19971027,19971028,19970630
600776,东方通信,5.0,0.0,5.0,0.0,19971007,19971023,19971024,19970630
600755,厦门国贸,6.0,2.0,4.0,0.0,19971018,19971022,19971023,19970630
600759,洲际油气,6.0,2.0,4.0,0.0,19971016,19971021,19971022,19970630
000758,中色股份,6.0,0.0,6.0,0.0,19971011,19971016,19971017,19970630
600075,新疆天业,8.0,0.0,8.0,0.0,19971009,19971014,19971015,19970630
600724,宁波富达,0.0,0.0,0.0,1.8,19970926,19971006,19971007,19970630
600644,乐山电力,4.1722,1.2516,2.9206,0.0,19970927,19971006,19971007,19970630
600860,京城股份,0.0,0.0,0.0,0.25,19970826,19971006,19971007,19970630
000727,华东科技,5.0,1.0,4.0,0.0,19970924,19970929,19970930,19970630
000688,建新矿业,5.0,0.0,5.0,0.0,19970922,19970929,19970930,19970630
000766,通化金马,10.0,0.0,10.0,0.0,19970917,19970923,19970924,19970630
600890,中房股份,7.0,0.0,7.0,0.0,19970917,19970922,19970923,19970630
600782,新钢股份,8.0,0.0,8.0,0.0,19970917,19970922,19970923,19970630
600658,电子城,5.0,0.0,5.0,0.0,19970912,19970918,19970919,19970630
000760,斯太尔,8.0,6.5,1.5,0.0,19970915,19970918,19970919,19970630
600895,张江高科,3.0,3.0,0.0,0.0,19970915,19970918,19970919,19970630
600777,新潮能源,1.0,1.0,0.0,0.0,19970912,19970916,19970917,19970630
600737,中粮糖业,8.0,3.0,5.0,0.0,19970911,19970915,19970916,19970630
000610,西安旅游,7.0,0.0,7.0,0.0,19970910,19970915,19970916,19970630
000690,宝新能源,10.0,2.5,7.5,0.0,19970904,19970912,19970915,19970630
000630,铜陵有色,10.0,3.5,6.5,0.0,19970905,19970910,19970911,19970630
000408,*ST金源,6.0,0.0,6.0,0.0,19970903,19970908,19970909,19970630
600101,明星电力,4.0,4.0,0.0,0.0,19970904,19970908,19970909,19970630
000819,岳阳兴长,10.0,10.0,0.0,0.0,19970901,19970905,19970908,19970630
600059,古越龙山,8.0,0.0,8.0,0.0,19970826,19970829,19970901,19970630
600773,西藏城投,4.0,0.0,4.0,0.0,19970816,19970819,19970820,19970630
600080,金花股份,6.0,0.0,6.0,0.0,19970814,19970818,19970819,19970630
600622,嘉宝集团,3.0,0.0,3.0,0.0,19970731,19970805,19970806,19970630
000638,万方发展,7.0,0.0,7.0,0.0,19970723,19970728,19970729,19970630
