code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
600612,老凤祥,2.0,2.0,0.0,0.8,19931230,19940107,19940110,19921231
600618,氯碱化工,0.0,0.0,0.0,1.0,19931231,19940107,19940110,19921231
600639,浦东金桥,0.0,0.0,0.0,1.4,19930911,19930917,19930920,19921231
600613,神奇制药,2.0,2.0,0.0,0.0,19930904,19930910,19930913,19921231
000017,深中华A,3.0,3.0,0.0,0.81,19930820,19930903,19930906,19921231
600638,新黄浦,1.0,1.0,0.0,0.0,19930807,19930813,19930816,19921231
600619,海立股份,0.0,0.0,0.0,0.7,19930803,19930806,19930809,19921231
600655,豫园商城,1.0,1.0,0.0,0.0,19930724,19930730,19930802,19921231
600610,中毅达,2.0,2.0,0.0,0.0,19930717,19930723,19930726,19921231
600628,新世界,1.0,1.0,0.0,0.0,19930710,19930716,19930719,19921231
000509,华塑控股,2.0,1.6,0.4,0.0,19930706,19930716,19930719,19921231
000011,深物业A,3.0,3.0,0.0,0.08,19930630,19930715,19930716,19921231
000511,*ST烯碳,2.0,2.0,0.0,0.0,19930628,19930709,19930712,19921231
000510,金路集团,2.0,1.1,0.9,0.0,19930616,19930702,19930705,19921231
600614,鹏起科技,2.0,2.0,0.0,0.0,19930626,19930702,19930705,19921231
600633,浙报传媒,1.0,1.0,0.0,0.0,19930626,19930702,19930705,19921231
600623,华谊集团,3.0,3.0,0.0,0.0,19930612,19930625,19930701,19921231
600647,同达创业,4.0,4.0,0.0,0.0,19930619,19930625,19930628,19921231
600660,福耀玻璃,5.0,5.0,0.0,0.0,19930622,19930625,19930628,19921231
000019,深深宝A,1.0,1.0,0.0,0.1,19930609,19930625,19930628,19921231
000502,绿景控股,4.0,4.0,0.0,0.8,19930609,19930618,19930621,19921231
600604,市北高新,4.0,4.0,0.0,1.0,19930612,19930618,19930621,19921231
000504,*ST生物,3.0,3.0,0.0,0.6,19921231,19930611,19930614,19921231
000506,中润资源,2.0,0.9,1.1,0.0,19930528,19930611,19930614,19921231
600624,复旦复华,1.0,1.0,0.0,0.0,19930605,19930611,19930614,19921231
600611,大众交通,1.0,1.0,0.0,0.0,19930605,19930611,19930614,19921231
000006,深振业A,3.0,3.0,0.0,0.0,19930526,19930604,19930607,19921231
600620,天宸股份,4.0,4.0,0.0,0.0,19930529,19930604,19930607,19921231
000507,珠海港,2.0,2.0,0.0,0.0,19930528,19930604,19930607,19921231
000008,神州高铁,1.5,1.5,0.0,0.5,19930519,19930528,19930531,19921231
600615,丰华股份,1.0,1.0,0.0,0.0,19930522,19930528,19930531,19921231
000007,全新好,2.0,2.0,0.0,0.0,19930516,19930528,19930531,19921231
600636,三爱富,0.0,0.0,0.0,0.4,19930522,19930528,19930531,19921231
000501,鄂武商A,2.0,2.0,0.0,0.2,19930519,19930528,19930531,19921231
000012,南玻A,3.0,3.0,0.0,0.7,19930513,19930521,19930524,19921231
600608,上海科技,1.0,1.0,0.0,0.0,19930515,19930521,19930524,19921231
000004,国农科技,3.0,3.0,0.0,0.8,19930512,19930521,19930524,19921231
000001,平安银行,8.5,3.5,5.0,3.0,19930509,19930521,19930524,19921231
600622,嘉宝集团,0.0,0.0,0.0,1.0,19930508,19930514,19930517,19921231
000014,沙河股份,3.0,3.0,0.0,0.8,19930417,19930514,19930517,19921231
600654,中安消,1.0,1.0,0.0,0.2,19930508,19930514,19930517,19921231
600634,中技控股,0.0,0.0,0.0,0.6,19930511,19930514,19930517,19921231
000018,神州长城,1.0,1.0,0.0,0.6,19930501,19930514,19930517,19921231
000016,深康佳A,3.5,3.5,0.0,0.9,19930415,19930430,19930503,19921231
600617,国新能源,5.0,5.0,0.0,2.4,19930417,19930423,19930426,19921231
000020,深华发A,1.0,1.0,0.0,0.3,19930412,19930423,19930426,19921231
000009,中国宝安,3.0,3.0,0.0,0.9,19930101,19930409,19930412,19921231
600603,*ST兴业,3.0,3.0,0.0,0.0,19930327,19930402,19930405,19921231
000002,万科A,5.0,5.0,0.0,0.6,19930325,19930402,19930405,19921231
600602,云赛智联,1.0,1.0,0.0,2.0,19930320,19930326,19930329,19921231
600601,方正科技,5.0,5.0,0.0,0.0,19930313,19930319,19930322,19921231
600651,飞乐音响,4.0,4.0,0.0,0.0,19930313,19930319,19930322,19921231
600653,申华控股,7.0,7.0,0.0,0.0,19930306,19930312,19930315,19921231
600635,大众公用,0.0,0.0,0.0,1.936,19930306,19930312,19930315,19921231
600652,游久游戏,10.0,10.0,0.0,0.0,19930306,19930312,19930315,19921231
600621,华鑫股份,0.0,0.0,0.0,0.0,19930418,0,19921210,19921231
600616,金枫酒业,0.0,0.0,0.0,0.0,19930805,0,19921210,19921231
600606,绿地控股,0.0,0.0,0.0,0.0,19930605,0,19921210,19921231
600609,金杯汽车,0.0,0.0,0.0,0.0,19921231,0,19921210,19921231
600605,汇通能源,0.0,0.0,0.0,0.0,19930410,0,19921210,19921231
600678,四川金顶,0.0,0.0,0.0,0.0,19921231,0,19920624,19921231
