code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
600663,陆家嘴,0.0,0.0,0.0,3.5,19941101,19941104,19941107,19940630
600808,马钢股份,0.0,0.0,0.0,0.3,19941014,19941021,19941024,19940630
600860,京城股份,0.0,0.0,0.0,0.5,19940924,19940930,19941005,19940630
600851,海欣股份,1.0,1.0,0.0,2.0,19940917,19940923,19940926,19940630
000573,粤宏远A,4.0,4.0,0.0,0.0,19940920,19940922,19940923,19940630
600688,上海石化,0.0,0.0,0.0,0.4,19940910,19940916,19940919,19940630
600867,通化东宝,2.0,2.0,0.0,0.0,19940820,19940826,19940829,19940630
600685,中船防务,0.0,0.0,0.0,0.6,19940813,19940819,19940822,19940630
