code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
600495,晋西车轴,0.0,0.0,0.0,0.5,20090821,20100114,20100115,20090630
600158,中体产业,0.0,0.0,0.0,0.65,20090819,20091214,20091215,20090630
600776,东方通信,0.0,0.0,0.0,0.7,20090822,20091207,20091208,20090630
000011,深物业A,1.0,1.0,0.0,0.112,20091012,20091120,20091123,20090630
002046,轴研科技,0.0,0.0,0.0,0.86,20090828,20091111,20091112,20090630
600724,宁波富达,0.0,0.0,0.0,0.6,20090827,20091103,20091104,20090630
601788,光大证券,0.0,0.0,0.0,5.8,20090825,20091026,20091027,20090630
600970,中材国际,0.0,0.0,0.0,1.86,20090815,20091021,20091022,20090630
002212,南洋股份,0.0,0.0,0.0,3.0,20090825,20091020,20091021,20090630
000501,鄂武商A,0.0,0.0,0.0,2.0,20090815,20091014,20091015,20090630
002194,武汉凡谷,0.0,0.0,0.0,2.5,20090826,20090929,20090930,20090630
002243,通产丽星,6.0,1.0,5.0,0.2,20090818,20090925,20090928,20090630
002151,北斗星通,0.0,0.0,0.0,1.5,20090819,20090924,20090925,20090630
600665,天地源,0.0,0.0,0.0,0.5,20090813,20090922,20090923,20090630
600028,中国石化,0.0,0.0,0.0,0.7,20090824,20090921,20090922,20090630
601328,交通银行,0.0,0.0,0.0,1.0,20090820,20090918,20090921,20090630
000570,苏常柴A,5.0,5.0,0.0,0.8,20090812,20090917,20090918,20090630
002054,德美化工,6.0,0.0,6.0,0.0,20090825,20090917,20090918,20090630
601857,中国石油,0.0,0.0,0.0,1.2417,20090829,20090916,20090917,20090630
002167,东方锆业,3.0,0.0,3.0,1.0,20090824,20090916,20090917,20090630
002073,软控股份,5.0,0.0,5.0,0.0,20090815,20090915,20090916,20090630
002264,新华都,0.0,0.0,0.0,4.5,20090728,20090915,20090916,20090630
600269,赣粤高速,10.0,0.0,10.0,0.0,20090815,20090911,20090914,20090630
000925,众合科技,10.0,0.0,10.0,0.0,20090815,20090910,20090911,20090630
000428,华天酒店,0.0,0.0,0.0,0.1,20090817,20090909,20090910,20090630
600317,营口港,10.0,0.0,10.0,0.0,20090811,20090909,20090910,20090630
002219,恒康医疗,10.0,5.0,5.0,0.56,20090812,20090908,20090909,20090630
002229,鸿博股份,7.0,0.0,7.0,0.0,20090808,20090908,20090909,20090630
000637,茂化实华,0.0,0.0,0.0,2.0,20090822,20090907,20090908,20090630
601107,四川成渝,0.0,0.0,0.0,1.3,20090819,20090903,20090904,20090630
601318,中国平安,0.0,0.0,0.0,1.5,20090815,20090831,20090901,20090630
600139,西部资源,4.0,0.0,4.0,0.0,20090730,20090831,20090901,20090630
002139,拓邦股份,4.0,0.0,4.0,0.0,20090805,20090828,20090831,20090630
002258,利尔化学,5.0,0.0,5.0,3.8,20090721,20090826,20090827,20090630
002149,西部材料,5.0,0.0,5.0,1.5,20090721,20090819,20090820,20090630
