code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
601186,中国铁建,0.0,0.0,0.0,0.5,20100831,20110211,20110214,20100630
002051,中工国际,5.0,0.0,5.0,3.5,20100818,20101206,20101207,20100630
000338,潍柴动力,10.0,0.0,10.0,0.0,20100824,20101203,20101206,20100630
601727,上海电气,0.0,0.0,0.0,0.589,20100821,20101202,20101203,20100630
600846,同济科技,2.0,0.0,2.0,0.2,20100730,20101126,20101129,20100630
600712,南宁百货,5.0,5.0,0.0,0.6,20100831,20101109,20101110,20100630
002328,新朋股份,0.0,0.0,0.0,1.0,20100806,20101109,20101110,20100630
002377,国创高新,0.0,0.0,0.0,3.0,20100826,20101104,20101105,20100630
600097,开创国际,0.0,0.0,0.0,1.0,20100827,20101103,20101104,20100630
002378,章源钨业,0.0,0.0,0.0,1.5,20100817,20101028,20101029,20100630
002424,贵州百灵,6.0,2.0,4.0,5.0,20100825,20101028,20101029,20100630
000963,华东医药,0.0,0.0,0.0,3.3,20100818,20101022,20101025,20100630
002406,远东传动,0.0,0.0,0.0,2.0,20100821,20101022,20101025,20100630
600983,惠而浦,6.0,3.0,3.0,0.5,20100824,20101021,20101022,20100630
600031,三一重工,11.0,11.0,0.0,1.3,20100823,20101021,20101022,20100630
002431,棕榈股份,6.0,0.0,6.0,4.0,20100827,20101020,20101021,20100630
002352,顺丰控股,0.0,0.0,0.0,2.0,20100828,20101020,20101021,20100630
002366,台海核电,0.0,0.0,0.0,3.5,20100819,20101018,20101019,20100630
002252,上海莱士,7.0,0.0,7.0,0.0,20100825,20101018,20101019,20100630
002001,新和成,5.0,0.0,5.0,0.0,20100827,20101015,20101018,20100630
600594,益佰制药,5.0,2.0,3.0,0.3,20100824,20101014,20101015,20100630
600507,方大特钢,9.0,0.0,9.0,0.0,20100721,20101013,20101014,20100630
002394,联发股份,0.0,0.0,0.0,3.0,20100819,20101011,20101012,20100630
600316,洪都航空,6.0,0.0,6.0,0.3,20100818,20101008,20101011,20100630
000936,华西股份,7.0,0.0,7.0,0.0,20100828,20101008,20101011,20100630
002094,青岛金王,5.0,1.0,4.0,0.2,20100821,20100930,20101008,20100630
300049,福瑞股份,3.0,0.0,3.0,0.0,20100821,20100929,20100930,20100630
000982,中银绒业,5.0,0.0,5.0,0.0,20100831,20100929,20100930,20100630
300101,振芯科技,0.0,0.0,0.0,2.0,20100824,20100928,20100929,20100630
002411,必康股份,5.0,0.0,5.0,0.0,20100825,20100928,20100929,20100630
002137,麦达数字,0.0,0.0,0.0,1.0,20100826,20100928,20100929,20100630
002219,恒康医疗,6.0,3.0,3.0,0.34,20100826,20100928,20100929,20100630
002410,广联达,5.0,0.0,5.0,0.0,20100816,20100927,20100928,20100630
002054,德美化工,4.0,0.0,4.0,0.0,20100826,20100927,20100928,20100630
002365,永安药业,0.0,0.0,0.0,5.0,20100821,20100920,20100921,20100630
300051,三五互联,5.0,0.0,5.0,0.0,20100824,20100920,20100921,20100630
002351,漫步者,0.0,0.0,0.0,5.0,20100803,20100920,20100921,20100630
300050,世纪鼎利,10.0,0.0,10.0,1.5,20100826,20100920,20100921,20100630
002092,中泰化学,5.0,0.0,5.0,1.3,20100823,20100917,20100920,20100630
600246,万通地产,0.0,0.0,0.0,0.85,20100821,20100916,20100917,20100630
601857,中国石油,0.0,0.0,0.0,1.6063,20100827,20100915,20100916,20100630
600017,日照港,5.0,0.0,5.0,0.0,20100803,20100915,20100916,20100630
002334,英威腾,9.0,0.0,9.0,3.0,20100813,20100915,20100916,20100630
000671,阳光城,6.0,6.0,0.0,0.7,20100825,20100915,20100916,20100630
002384,东山精密,0.0,0.0,0.0,2.0,20100819,20100914,20100915,20100630
600458,时代新材,0.0,0.0,0.0,2.0,20100730,20100914,20100915,20100630
600376,首开股份,0.0,0.0,0.0,0.5,20100813,20100913,20100914,20100630
600970,中材国际,0.0,0.0,0.0,2.7,20100813,20100913,20100914,20100630
300043,星辉娱乐,5.0,0.0,5.0,0.0,20100814,20100913,20100914,20100630
601328,交通银行,0.0,0.0,0.0,1.0,20100819,20100910,20100913,20100630
600028,中国石化,0.0,0.0,0.0,0.8,20100823,20100910,20100913,20100630
601318,中国平安,0.0,0.0,0.0,1.5,20100825,20100908,20100909,20100630
002397,梦洁股份,5.0,5.0,0.0,8.0,20100809,20100908,20100909,20100630
002380,科远股份,0.0,0.0,0.0,5.0,20100731,20100908,20100909,20100630
002198,嘉应制药,10.0,3.0,7.0,1.0,20100805,20100907,20100908,20100630
300076,GQY视讯,10.0,0.0,10.0,3.0,20100721,20100907,20100908,20100630
002087,新野纺织,4.0,0.0,4.0,0.0,20100729,20100902,20100903,20100630
002369,卓翼科技,0.0,0.0,0.0,5.0,20100730,20100902,20100903,20100630
300082,奥克股份,5.0,0.0,5.0,3.0,20100729,20100902,20100903,20100630
600252,中恒集团,10.0,2.0,8.0,0.25,20100731,20100827,20100830,20100630
002404,嘉欣丝绸,0.0,0.0,0.0,2.0,20100730,20100826,20100827,20100630
000157,中联重科,15.0,15.0,0.0,1.7,20100707,20100826,20100827,20100630
002310,东方园林,10.0,0.0,10.0,2.0,20100708,20100825,20100826,20100630
002138,顺络电子,5.0,0.0,5.0,0.0,20100731,20100825,20100826,20100630
002364,中恒电气,0.0,0.0,0.0,2.0,20100729,20100824,20100825,20100630
002391,长青股份,6.0,0.0,6.0,4.0,20100716,20100824,20100825,20100630
002248,华东数控,10.0,0.0,10.0,1.0,20100723,20100823,20100824,20100630
600557,康缘药业,3.0,0.0,3.0,0.0,20100724,20100819,20100820,20100630
