code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
600145,*ST新亿,1.0,1.0,0.0,0.25,20001214,20001218,20001219,20000630
000810,创维数字,4.0,3.0,1.0,0.75,20001115,20001120,20001121,20000630
600677,航天通信,3.0,1.0,2.0,0.0,20001109,20001114,20001115,20000630
000761,本钢板材,0.0,0.0,0.0,1.8,20001108,20001113,20001114,20000630
000926,福星股份,3.0,1.0,2.0,0.0,20001104,20001109,20001110,20000630
600652,游久游戏,3.0,0.0,3.0,0.0,20001107,20001109,20001110,20000630
000897,津滨发展,0.0,0.0,0.0,1.062,20001106,20001109,20001110,20000630
000911,南宁糖业,0.0,0.0,0.0,1.5,20001106,20001109,20001110,20000630
000930,中粮生化,0.0,0.0,0.0,3.5,20001030,20001106,20001107,20000630
600256,广汇能源,10.0,0.0,10.0,0.0,20001031,20001103,20001106,20000630
600735,新华锦,1.7243,1.7243,0.0,0.4311,20001024,20001027,20001030,20000630
600644,乐山电力,6.0,0.0,6.0,0.5,20001023,20001025,20001026,20000630
600731,湖南海利,5.1,0.0,5.1,0.0,20001017,20001023,20001024,20000630
000539,粤电力A,10.0,2.0,8.0,0.4,20001018,20001023,20001024,20000630
000882,华联股份,4.0,0.0,4.0,0.0,20001018,20001023,20001024,20000630
000877,天山股份,0.0,0.0,0.0,1.344,20001017,20001020,20001023,20000630
600198,大唐电信,2.721,0.0,2.721,1.36,20001012,20001017,20001018,20000630
000830,鲁西化工,1.5385,0.0,1.5385,0.0,20001010,20001013,20001016,20000630
600766,园城黄金,5.0,3.0,2.0,0.0,20001010,20001013,20001016,20000630
600081,东风科技,5.0,0.0,5.0,1.0,20001009,20001011,20001012,20000630
000036,华联控股,5.0,0.0,5.0,0.0,20000928,20001010,20001011,20000630
000828,东莞控股,2.0,0.0,2.0,0.35,20000927,20000929,20001009,20000630
600216,浙江医药,3.0,0.0,3.0,0.0,20000920,20000929,20001009,20000630
600226,升华拜克,6.0,1.0,5.0,0.25,20000918,20000927,20000928,20000630
600737,中粮糖业,10.0,5.0,5.0,1.25,20000922,20000927,20000928,20000630
000751,锌业股份,3.0,0.0,3.0,1.0,20000920,20000926,20000927,20000630
600128,弘业股份,5.3948,0.0,5.3948,0.0,20000919,20000925,20000926,20000630
000619,海螺型材,10.0,4.0,6.0,0.8,20000920,20000925,20000926,20000630
600720,祁连山,5.336,2.668,2.668,0.667,20000919,20000922,20000925,20000630
600122,宏图高科,5.0,0.0,5.0,0.0,20000918,20000921,20000922,20000630
000777,中核科技,4.0,0.0,4.0,1.25,20000916,20000920,20000921,20000630
600699,均胜电子,2.0,0.5,1.5,0.0,20000916,20000920,20000921,20000630
600177,雅戈尔,10.0,0.0,10.0,0.0,20000914,20000920,20000921,20000630
000727,华东科技,3.0,0.0,3.0,0.0,20000914,20000919,20000920,20000630
000863,三湘印象,10.0,0.0,10.0,0.0,20000913,20000918,20000919,20000630
000702,正虹科技,0.0,0.0,0.0,1.0,20000913,20000918,20000919,20000630
000503,海虹控股,7.0,0.0,7.0,0.0,20000908,20000913,20000914,20000630
000636,风华高科,5.0,0.0,5.0,0.0,20000906,20000911,20000912,20000630
000028,国药一致,8.0,0.0,8.0,0.0,20000902,20000908,20000911,20000630
600705,中航资本,5.0,0.0,5.0,0.0,20000904,20000907,20000908,20000630
000890,法尔胜,4.0,2.0,2.0,0.0,20000831,20000906,20000907,20000630
000735,罗牛山,7.0,2.0,5.0,0.5,20000901,20000906,20000907,20000630
000939,凯迪生态,5.0,0.0,5.0,0.0,20000830,20000905,20000906,20000630
600103,青山纸业,10.0,2.0,8.0,0.5,20000830,20000905,20000906,20000630
000750,国海证券,10.0,0.0,10.0,0.0,20000830,20000904,20000905,20000630
000676,智度股份,10.0,3.0,7.0,0.0,20000829,20000904,20000905,20000630
000403,ST生化,5.0,0.0,5.0,0.0,20000829,20000904,20000905,20000630
600079,人福医药,9.0,3.0,6.0,0.75,20000828,20000830,20000831,20000630
000690,宝新能源,8.0,3.0,5.0,0.75,20000823,20000828,20000829,20000630
000962,*ST东钽,8.0,0.0,8.0,0.0,20000822,20000825,20000828,20000630
600155,宝硕股份,3.0,0.0,3.0,0.0,20000816,20000821,20000822,20000630
