code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
000636,风华高科,0.0,0.0,0.0,0.35,20060822,20070214,20070215,20060630
600009,上海机场,0.0,0.0,0.0,1.0,20060830,20061206,20061207,20060630
600415,小商品城,0.0,0.0,0.0,18.6843,20060718,20061130,20061201,20060630
600794,保税科技,3.0,0.0,3.0,0.0,20060831,20061122,20061123,20060630
000612,焦作万方,0.0,0.0,0.0,1.7,20060815,20061115,20061116,20060630
000752,西藏发展,5.0,0.46,4.54,0.0,20060831,20061106,20061107,20060630
600054,黄山旅游,5.0,0.0,5.0,0.0,20060818,20061101,20061102,20060630
000301,东方市场,7.0,0.0,7.0,0.0,20060825,20061030,20061031,20060630
600117,西宁特钢,1.0,1.0,0.0,0.0,20060830,20061025,20061026,20060630
600823,世茂股份,2.0,2.0,0.0,0.0,20060824,20061020,20061023,20060630
002052,同洲电子,3.0,3.0,0.0,1.0,20060815,20061020,20061023,20060630
002007,华兰生物,5.0,0.0,5.0,0.0,20060819,20061019,20061020,20060630
600888,新疆众和,4.0,3.0,1.0,0.34,20060808,20061018,20061019,20060630
600281,太化股份,3.0,0.0,3.0,0.0,20060829,20061016,20061017,20060630
600981,汇鸿集团,5.0,0.0,5.0,0.0,20060824,20061016,20061017,20060630
600161,天坛生物,0.0,0.0,0.0,1.6,20060801,20060927,20060928,20060630
600268,国电南自,5.0,0.0,5.0,0.0,20060826,20060925,20060926,20060630
600183,生益科技,5.0,5.0,0.0,0.56,20060725,20060922,20060925,20060630
000778,新兴铸管,5.0,1.35,3.65,0.15,20060815,20060921,20060922,20060630
002024,苏宁云商,10.0,0.0,10.0,0.0,20060829,20060920,20060921,20060630
600370,三房巷,8.0,0.0,8.0,0.0,20060729,20060920,20060921,20060630
600546,*ST山煤,8.1818,0.0,8.1818,0.0,20060824,20060920,20060921,20060630
600269,赣粤高速,5.0,0.0,5.0,0.0,20060819,20060919,20060920,20060630
600033,福建高速,5.0,0.0,5.0,0.0,20060815,20060918,20060919,20060630
000632,三木集团,2.0,0.0,2.0,0.0,20060809,20060918,20060919,20060630
600467,好当家,10.0,0.0,10.0,0.0,20060808,20060914,20060915,20060630
600028,中国石化,0.0,0.0,0.0,0.4,20060828,20060913,20060914,20060630
600533,栖霞建设,5.0,0.0,5.0,0.0,20060808,20060912,20060913,20060630
002048,宁波华翔,8.0,0.0,8.0,0.0,20060822,20060912,20060913,20060630
600776,东方通信,10.0,0.0,10.0,0.0,20060811,20060907,20060908,20060630
600774,汉商集团,6.0,0.0,6.0,0.0,20060728,20060906,20060907,20060630
600527,江南高纤,5.0,0.0,5.0,0.0,20060718,20060906,20060907,20060630
600200,江苏吴中,5.0,0.0,5.0,0.0,20060811,20060906,20060907,20060630
600611,大众交通,3.5,0.0,3.5,0.0,20060801,20060830,20060831,20060630
600577,精达股份,2.0,0.0,2.0,1.2,20060718,20060830,20060831,20060630
600240,华业资本,10.0,0.0,10.0,0.0,20060722,20060828,20060829,20060630
600276,恒瑞医药,3.0,0.0,3.0,0.0,20060719,20060828,20060829,20060630
600446,金证股份,10.0,0.0,10.0,0.0,20060728,20060823,20060824,20060630
600038,中直股份,0.0,0.0,0.0,3.37,20060712,20060821,20060822,20060630
