code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
000423,东阿阿胶,0.0,0.0,0.0,1.6,20090410,20090903,20090904,20081231
600965,福成股份,0.0,0.0,0.0,0.4,20090326,20090902,20090903,20081231
000023,深天地A,0.0,0.0,0.0,1.096,20090403,20090824,20090825,20081231
600265,ST景谷,0.0,0.0,0.0,1.6,20090428,20090824,20090825,20081231
600153,建发股份,0.0,0.0,0.0,2.5,20090415,20090824,20090825,20081231
000752,西藏发展,0.0,0.0,0.0,0.2,20090425,20090821,20090824,20081231
000629,*ST钒钛,0.0,0.0,0.0,1.2,20090428,20090820,20090821,20081231
600247,ST成城,0.0,0.0,0.0,0.15,20090404,20090820,20090821,20081231
600797,浙大网新,0.0,0.0,0.0,0.1,20090425,20090820,20090821,20081231
600875,东方电气,0.0,0.0,0.0,0.2,20090409,20090819,20090820,20081231
600266,北京城建,0.0,0.0,0.0,0.5,20090422,20090818,20090819,20081231
000712,锦龙股份,0.0,0.0,0.0,0.5,20090416,20090818,20090819,20081231
600196,复星医药,0.0,0.0,0.0,1.0,20090321,20090818,20090819,20081231
600088,中视传媒,0.0,0.0,0.0,1.0,20090411,20090818,20090819,20081231
000429,粤高速A,0.0,0.0,0.0,1.0,20090224,20090817,20090818,20081231
600628,新世界,0.0,0.0,0.0,1.0,20090428,20090814,20090817,20081231
600833,第一医药,0.0,0.0,0.0,0.7,20090418,20090813,20090814,20081231
000797,中国武夷,0.0,0.0,0.0,0.3,20090425,20090812,20090813,20081231
600363,联创光电,0.0,0.0,0.0,0.2,20090331,20090812,20090813,20081231
600748,上实发展,0.0,0.0,0.0,0.3,20090320,20090812,20090813,20081231
600085,同仁堂,0.0,0.0,0.0,2.0,20090324,20090811,20090812,20081231
000062,深圳华强,0.0,0.0,0.0,0.5,20090214,20090811,20090812,20081231
600189,吉林森工,0.0,0.0,0.0,1.0,20090425,20090810,20090811,20081231
601727,上海电气,0.0,0.0,0.0,0.61,20090425,20090807,20090810,20081231
600649,城投控股,0.0,0.0,0.0,1.0,20090331,20090807,20090810,20081231
600308,华泰股份,0.0,0.0,0.0,0.6,20090418,20090807,20090810,20081231
600469,风神股份,0.0,0.0,0.0,1.0,20090421,20090807,20090810,20081231
600639,浦东金桥,0.0,0.0,0.0,1.25,20090325,20090807,20090810,20081231
000338,潍柴动力,0.0,0.0,0.0,1.3,20090428,20090806,20090807,20081231
600900,长江电力,0.0,0.0,0.0,2.1585,20090430,20090806,20090807,20081231
600858,银座股份,0.0,0.0,0.0,0.7,20090311,20090806,20090807,20081231
600874,创业环保,0.0,0.0,0.0,0.4,20090429,20090805,20090806,20081231
600809,山西汾酒,0.0,0.0,0.0,4.0,20090408,20090805,20090806,20081231
600004,白云机场,0.0,0.0,0.0,1.7,20090310,20090805,20090806,20081231
000009,中国宝安,0.5,0.5,0.0,0.3,20090425,20090805,20090806,20081231
600009,上海机场,0.0,0.0,0.0,0.5,20090228,20090804,20090805,20081231
000690,宝新能源,0.0,0.0,0.0,0.6,20090228,20090804,20090805,20081231
600540,新赛股份,0.0,0.0,0.0,0.4,20090428,20090803,20090804,20081231
600621,华鑫股份,0.0,0.0,0.0,0.5,20090410,20090803,20090804,20081231
600864,哈投股份,0.0,0.0,0.0,0.5,20090217,20090731,20090803,20081231
600348,阳泉煤业,0.0,0.0,0.0,4.5,20090418,20090730,20090731,20081231
600819,耀皮玻璃,0.0,0.0,0.0,0.2,20090424,20090729,20090730,20081231
000617,中油资本,2.0,2.0,0.0,0.25,20090326,20090729,20090730,20081231
000715,中兴商业,0.0,0.0,0.0,0.5,20090328,20090728,20090729,20081231
000927,一汽夏利,0.0,0.0,0.0,0.5,20090428,20090728,20090729,20081231
