code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
000667,美好置业,0.0,0.0,0.0,3.7,20050830,20060116,20060117,20050630
000550,江铃汽车,0.0,0.0,0.0,3.59,20051203,20060111,20060112,20050630
002044,美年健康,0.0,0.0,0.0,2.0,20050921,20051216,20051219,20050630
600824,益民集团,10.0,0.0,10.0,0.0,20050823,20051207,20051208,20050630
000930,中粮生化,10.0,0.0,10.0,0.0,20050831,20051206,20051207,20050630
600010,包钢股份,10.0,5.0,5.0,2.0,20050820,20051111,20051114,20050630
002033,丽江旅游,0.0,0.0,0.0,1.3,20050820,20051111,20051114,20050630
600886,国投电力,0.0,0.0,0.0,5.0,20050816,20051103,20051104,20050630
600845,宝信软件,0.0,0.0,0.0,2.0,20050819,20051101,20051102,20050630
600360,华微电子,10.0,0.0,10.0,0.0,20050827,20051027,20051028,20050630
600325,华发股份,3.0,0.0,3.0,0.0,20050830,20051027,20051028,20050630
002001,新和成,5.0,0.0,5.0,0.0,20050830,20051018,20051019,20050630
600475,华光股份,0.0,0.0,0.0,2.1875,20050726,20051018,20051019,20050630
002040,南京港,0.0,0.0,0.0,4.0,20050818,20051014,20051017,20050630
002024,苏宁云商,8.0,0.0,8.0,0.0,20050830,20051014,20051017,20050630
600428,中远海特,0.0,0.0,0.0,3.5,20050823,20050930,20051010,20050630
600037,歌华有线,6.0,0.0,6.0,0.0,20050816,20050929,20050930,20050630
600507,方大特钢,3.0,0.0,3.0,0.0,20050805,20050927,20050928,20050630
002010,传化智联,5.0,0.0,5.0,0.0,20050816,20050927,20050928,20050630
600301,*ST南化,0.0,0.0,0.0,1.5,20050730,20050922,20050923,20050630
600028,中国石化,0.0,0.0,0.0,0.4,20050829,20050920,20050921,20050630
600577,精达股份,0.0,0.0,0.0,1.0,20050727,20050916,20050919,20050630
000933,*ST神火,10.0,0.0,10.0,15.0,20050726,20050908,20050909,20050630
