code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
600637,东方明珠,0.0,0.0,0.0,0.5,20130815,20140115,20140116,20130630
600329,中新药业,0.0,0.0,0.0,1.0,20130815,20131218,20131219,20130630
600823,世茂股份,0.0,0.0,0.0,0.9,20130731,20131205,20131206,20130630
600688,上海石化,5.0,0.0,5.0,0.5,20130829,20131203,20131204,20130630
000883,湖北能源,0.0,0.0,0.0,0.8,20130829,20131128,20131129,20130630
600871,石化油服,5.0,0.0,5.0,0.0,20130830,20131120,20131121,20130630
002352,顺丰控股,0.0,0.0,0.0,2.5,20130829,20131113,20131114,20130630
600305,恒顺醋业,10.0,0.0,10.0,0.0,20130820,20131112,20131113,20130630
300086,康芝药业,0.0,0.0,0.0,2.0,20130823,20131104,20131105,20130630
600193,创兴资源,3.0,3.0,0.0,0.4,20130828,20131104,20131105,20130630
002246,北化股份,0.0,0.0,0.0,0.3,20130824,20131028,20131029,20130630
601928,凤凰传媒,0.0,0.0,0.0,1.0,20130822,20131025,20131028,20130630
002484,江海股份,0.0,0.0,0.0,0.5,20130828,20131023,20131024,20130630
002638,勤上股份,0.0,0.0,0.0,0.5,20130829,20131023,20131024,20130630
600578,京能电力,10.0,0.0,10.0,1.0,20130823,20131022,20131023,20130630
002132,恒星科技,0.0,0.0,0.0,0.5,20130823,20131022,20131023,20130630
000338,潍柴动力,0.0,0.0,0.0,1.0,20130830,20131017,20131018,20130630
000655,金岭矿业,0.0,0.0,0.0,1.0,20130820,20131016,20131017,20130630
002612,朗姿股份,0.0,0.0,0.0,3.5,20130820,20131015,20131016,20130630
000159,国际实业,0.0,0.0,0.0,0.2,20130827,20131015,20131016,20130630
002700,新疆浩源,6.0,0.0,6.0,0.0,20130705,20131015,20131016,20130630
002440,闰土股份,10.0,0.0,10.0,0.0,20130820,20131014,20131015,20130630
600340,华夏幸福,5.0,5.0,0.0,1.5,20130827,20131009,20131010,20130630
601515,东风股份,0.0,0.0,0.0,6.5,20130827,20131009,20131010,20130630
300027,华谊兄弟,10.0,0.0,10.0,0.0,20130902,20131009,20131010,20130630
002443,金洲管道,2.0,0.0,2.0,1.0,20130829,20131009,20131010,20130630
600216,浙江医药,8.0,0.0,8.0,0.0,20130831,20131008,20131009,20130630
600187,国中水务,15.0,0.0,15.0,0.0,20130709,20131008,20131009,20130630
002303,美盈森,10.0,0.0,10.0,0.0,20130724,20131008,20131009,20130630
601238,广汽集团,0.0,0.0,0.0,0.6,20130830,20130930,20131008,20130630
002568,百润股份,0.0,0.0,0.0,2.5,20130823,20130930,20131008,20130630
002465,海格通信,10.0,0.0,10.0,0.0,20130706,20130927,20130930,20130630
600882,广泽股份,0.0,0.0,0.0,2.0,20130829,20130927,20130930,20130630
002697,红旗连锁,10.0,0.0,10.0,0.93,20130823,20130927,20130930,20130630
002628,成都路桥,8.0,0.0,8.0,0.0,20130803,20130926,20130927,20130630
002179,中航光电,0.0,0.0,0.0,1.0,20130822,20130926,20130927,20130630
601877,正泰电器,0.0,0.0,0.0,4.0,20130824,20130925,20130926,20130630
600280,中央商场,10.0,7.0,3.0,1.0,20130824,20130924,20130925,20130630
300315,掌趣科技,8.0,0.0,8.0,0.0,20130823,20130918,20130923,20130630
002359,齐星铁塔,10.0,0.0,10.0,1.0,20130814,20130917,20130918,20130630
002224,三力士,5.0,0.0,5.0,0.0,20130824,20130917,20130918,20130630
002085,万丰奥威,0.0,0.0,0.0,5.0,20130807,20130917,20130918,20130630
600677,航天通信,0.0,0.0,0.0,0.8,20130817,20130917,20130918,20130630
600246,万通地产,0.0,0.0,0.0,0.7,20130731,20130916,20130917,20130630
600248,延长化建,0.0,0.0,0.0,1.0,20130801,20130913,20130916,20130630
002266,浙富控股,10.09084,0.0,10.09084,0.504542,20130706,20130913,20130916,20130630
300285,国瓷材料,10.0,0.0,10.0,0.0,20130708,20130912,20130913,20130630
002394,联发股份,0.0,0.0,0.0,2.0,20130813,20130912,20130913,20130630
002444,巨星科技,10.0,0.0,10.0,0.0,20130820,20130912,20130913,20130630
601857,中国石油,0.0,0.0,0.0,1.611,20130823,20130911,20130912,20130630
002671,龙泉股份,10.0,0.0,10.0,2.0,20130813,20130911,20130912,20130630
002653,海思科,3.5,0.0,3.5,0.0,20130813,20130911,20130912,20130630
600028,中国石化,0.0,0.0,0.0,0.9,20130826,20130911,20130912,20130630
600016,民生银行,0.0,0.0,0.0,1.58,20130829,20130909,20130910,20130630
601318,中国平安,0.0,0.0,0.0,2.0,20130830,20130909,20130910,20130630
002452,长高集团,0.0,0.0,0.0,1.0,20130815,20130909,20130910,20130630
002230,科大讯飞,0.0,0.0,0.0,1.5,20130810,20130909,20130910,20130630
300052,中青宝,10.0,0.0,10.0,0.0,20130709,20130906,20130909,20130630
002414,高德红外,10.0,0.0,10.0,0.0,20130809,20130903,20130904,20130630
300111,向日葵,12.0,0.0,12.0,0.0,20130702,20130903,20130904,20130630
000979,中弘股份,9.0,9.0,0.0,2.25,20130709,20130827,20130828,20130630
300097,智云股份,10.0,0.0,10.0,0.0,20130725,20130821,20130822,20130630
000603,盛达矿业,0.0,0.0,0.0,10.0,20130716,20130808,20130809,20130630
000738,中航动控,0.0,0.0,0.0,0.41,20130517,20130613,20130614,20130630
