code,name,share,bonus_share,conver_share,cash,report_date,reg_date,execute_date,end_date
600742,一汽富维,5.0,2.0,3.0,0.0,19991217,19991222,19991223,19990630
600753,东方银星,0.0,0.0,0.0,0.5,19991215,19991221,19991222,19990630
600054,黄山旅游,3.0,0.0,3.0,0.0,19991209,19991213,19991214,19990630
000796,凯撒旅游,3.0,3.0,0.0,0.0,19991130,19991206,19991207,19990630
600767,运盛医疗,5.0,1.0,4.0,0.0,19991124,19991130,19991201,19990630
600861,北京城乡,5.0,0.0,5.0,0.0,19991122,19991126,19991129,19990630
000880,潍柴重机,0.0,0.0,0.0,2.0,19991113,19991118,19991119,19990630
600063,皖维高新,2.0,0.0,2.0,0.0,19991112,19991117,19991118,19990630
000926,福星股份,0.0,0.0,0.0,1.25,19991104,19991109,19991110,19990630
000892,欢瑞世纪,6.0,0.0,6.0,0.0,19991102,19991105,19991108,19990630
600885,宏发股份,4.0,0.0,4.0,0.0,19991102,19991105,19991108,19990630
600072,中船科技,6.0,3.0,3.0,0.0,19991029,19991102,19991103,19990630
600069,银鸽投资,10.0,0.0,10.0,0.0,19991026,19991101,19991102,19990630
000732,泰禾集团,0.0,0.0,0.0,3.0,19991022,19991027,19991028,19990630
000591,太阳能,2.0,2.0,0.0,0.0,19991020,19991026,19991027,19990630
000768,中航飞机,5.0,0.0,5.0,3.0,19991021,19991026,19991027,19990630
600705,中航资本,3.0,0.0,3.0,0.0,19991016,19991021,19991022,19990630
000016,深康佳A,0.0,0.0,0.0,3.0,19991012,19991020,19991021,19990630
000407,胜利股份,5.0,2.0,3.0,0.5,19991012,19991018,19991019,19990630
000001,平安银行,0.0,0.0,0.0,6.0,19991016,19991015,19991018,19990630
600661,新南洋,5.0,0.0,5.0,0.0,19991008,19991015,19991018,19990630
600794,保税科技,6.0,3.0,3.0,0.0,19991011,19991015,19991018,19990630
000673,当代东方,7.0,5.0,2.0,0.0,19991011,19991014,19991015,19990630
600860,京城股份,0.0,0.0,0.0,0.25,19991012,19991014,19991015,19990630
600652,游久游戏,6.0,2.4,3.6,0.0,19990929,19991012,19991013,19990630
600744,华银电力,2.0,0.0,2.0,0.0,19990930,19991012,19991013,19990630
000821,京山轻机,5.0,2.0,3.0,0.5,19990928,19991011,19991012,19990630
600780,通宝能源,4.226,0.0,4.226,0.0,19990927,19991011,19991012,19990630
000415,渤海金控,8.2342,1.8298,6.4044,0.0,19990929,19991011,19991012,19990630
600127,金健米业,7.0,2.0,5.0,0.5,19990927,19991008,19991011,19990630
000682,东方电子,10.0,6.0,4.0,0.0,19990928,19991008,19991011,19990630
600830,香溢融通,5.0,0.0,5.0,0.0,19990928,19991008,19991011,19990630
600747,大连控股,5.0,0.0,5.0,0.0,19990922,19990927,19990928,19990630
000858,五粮液,5.0,0.0,5.0,0.0,19990922,19990927,19990928,19990630
600862,中航高科,10.0,2.5,7.5,0.0,19990921,19990924,19990927,19990630
000887,中鼎股份,7.5,2.0,5.5,0.5,19990921,19990924,19990927,19990630
600200,江苏吴中,6.0,1.9,4.1,0.0,19990920,19990924,19990927,19990630
000538,云南白药,5.0,1.0,4.0,0.3,19990921,19990924,19990927,19990630
600884,杉杉股份,5.0,0.0,5.0,0.0,19990917,19990922,19990923,19990630
600120,浙江东方,2.0,0.0,2.0,0.0,19990914,19990921,19990922,19990630
600195,中牧股份,5.0,1.0,4.0,0.0,19990915,19990921,19990922,19990630
600218,全柴动力,3.0,0.0,3.0,0.0,19990915,19990920,19990921,19990630
600165,新日恒力,6.0,1.5,4.5,0.0,19990913,19990917,19990920,19990630
000917,电广传媒,3.0,0.0,3.0,0.0,19990911,19990915,19990916,19990630
600096,云天化,0.0,0.0,0.0,2.0,19990911,19990915,19990916,19990630
600105,永鼎股份,7.0,3.0,4.0,0.0,19990910,19990915,19990916,19990630
600722,金牛化工,10.0,5.0,5.0,0.0,19990906,19990910,19990913,19990630
600123,兰花科创,5.0,1.0,4.0,0.0,19990907,19990910,19990913,19990630
600095,哈高科,6.6,1.65,4.95,0.0,19990903,19990909,19990910,19990630
600880,博瑞传播,8.0,2.0,6.0,0.0,19990902,19990908,19990909,19990630
000636,风华高科,5.0,5.0,0.0,0.0,19990904,19990908,19990909,19990630
000581,威孚高科,3.0,3.0,0.0,0.0,19990831,19990907,19990908,19990630
600172,黄河旋风,10.0,4.0,6.0,0.0,19990903,19990907,19990908,19990630
600057,象屿股份,8.0,5.0,3.0,1.24,19990901,19990907,19990908,19990630
600186,莲花健康,10.0,2.0,8.0,0.0,19990903,19990907,19990908,19990630
000627,天茂集团,8.0,0.0,8.0,0.0,19990831,19990906,19990907,19990630
000806,银河生物,8.0,2.0,6.0,0.5,19990901,19990906,19990907,19990630
600770,综艺股份,5.0,3.0,2.0,0.0,19990827,19990901,19990902,19990630
000089,深圳机场,5.0,0.0,5.0,0.0,19990826,19990831,19990901,19990630
600779,水井坊,8.0,2.0,6.0,0.0,19990823,19990827,19990830,19990630
600081,东风科技,4.0,2.0,2.0,0.5,19990823,19990826,19990827,19990630
